scenario,variability,inductive_noise_threshold,declare_min_support_ratio,declare_min_confidence_ratio,metric,n_seeds,median,mean,std,min,max,median_ci_low,median_ci_high
optional,0.1,0.0,0.05,0.95,declarative_test_f1_leave_one_family_out_range,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
optional,0.1,0.0,0.05,0.95,declarative_closed_world_test_f1,10,1.0,1.0,0.0,1.0,1.0,1.0,1.0
optional,0.1,0.0,0.05,0.95,imperative_native_precision,10,1.0,1.0,0.0,1.0,1.0,1.0,1.0
optional,0.1,0.0,0.05,0.95,declarative_full_trace_conformance,10,1.0,1.0,0.0,1.0,1.0,1.0,1.0
optional,0.2,0.0,0.05,0.95,train_variant_entropy_normalized,10,0.7167851113731157,0.7168805646987106,0.03351965962904002,0.6564407181387476,0.7697849456192073,0.6963351616344129,0.7417203835434323
optional,0.2,0.0,0.05,0.95,imperative_bpmn_nodes,10,14.0,14.0,0.0,14.0,14.0,14.0,14.0
optional,0.2,0.0,0.05,0.95,imperative_bpmn_structural_overhead,10,6.0,6.0,0.0,6.0,6.0,6.0,6.0
optional,0.2,0.0,0.05,0.95,imperative_control_flow_complexity,10,4.0,4.0,0.0,4.0,4.0,4.0,4.0
optional,0.2,0.0,0.05,0.95,declarative_declare_constraints,10,61.0,61.0,0.0,61.0,61.0,61.0,61.0
optional,0.2,0.0,0.05,0.95,declarative_declare_constraints_primitive_preferred,10,91.0,91.0,0.0,91.0,91.0,91.0,91.0
optional,0.2,0.0,0.05,0.95,declarative_declare_relation_records_raw,10,136.0,136.0,0.0,136.0,136.0,136.0,136.0
optional,0.2,0.0,0.05,0.95,declarative_declare_constraints_per_observed_activity,10,7.625,7.625,0.0,7.625,7.625,7.625,7.625
optional,0.2,0.0,0.05,0.95,imperative_test_f1,10,1.0,1.0,0.0,1.0,1.0,1.0,1.0
optional,0.2,0.0,0.05,0.95,declarative_test_f1,10,1.0,1.0,0.0,1.0,1.0,1.0,1.0
optional,0.2,0.0,0.05,0.95,declarative_test_f1_leave_one_family_out_range,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
optional,0.2,0.0,0.05,0.95,declarative_closed_world_test_f1,10,1.0,1.0,0.0,1.0,1.0,1.0,1.0
optional,0.2,0.0,0.05,0.95,imperative_native_precision,10,1.0,1.0,0.0,1.0,1.0,1.0,1.0
optional,0.2,0.0,0.05,0.95,declarative_full_trace_conformance,10,1.0,1.0,0.0,1.0,1.0,1.0,1.0
