scenario,variability,seed,train_traces,positive_test_traces,negative_test_traces,inductive_noise_threshold,declare_min_support_ratio,declare_min_confidence_ratio,train_activity_count,train_variant_count,train_variant_ratio,train_variant_entropy,train_variant_entropy_normalized,train_mean_trace_length,imperative_petri_places,imperative_petri_transitions,imperative_petri_visible_transitions,imperative_petri_hidden_transitions,imperative_petri_arcs,imperative_bpmn_nodes,imperative_bpmn_flows,imperative_bpmn_tasks,imperative_bpmn_gateways,imperative_bpmn_xor_gateways,imperative_bpmn_and_gateways,imperative_bpmn_or_gateways,imperative_bpmn_split_gateways,imperative_control_flow_complexity,imperative_bpmn_density,imperative_bpmn_structural_overhead,imperative_bpmn_nodes_per_observed_activity,declarative_declare_relation_records_raw,declarative_declare_symmetric_deduplicated_constraints,declarative_declare_constraints,declarative_declare_constraints_primitive_preferred,declarative_declare_redundant_records_removed,declarative_declare_unary_constraints,declarative_declare_binary_constraints,declarative_declare_template_count,declarative_declare_observed_activities,declarative_declare_constrained_activities,declarative_declare_unconstrained_activities,declarative_declare_constraint_density,declarative_declare_graph_mean_degree,declarative_declare_graph_max_degree,declarative_declare_relation_overlap,declarative_declare_mean_support_ratio,declarative_declare_mean_confidence_ratio,declarative_declare_constraints_per_observed_activity,declarative_declare_raw_records_per_observed_activity,declarative_declare_primitive_constraints_per_observed_activity,imperative_test_tp,imperative_test_fn,imperative_test_fp,imperative_test_tn,imperative_test_accuracy,imperative_test_precision,imperative_test_recall,imperative_test_f1,imperative_test_false_acceptance_rate,imperative_test_false_rejection_rate,imperative_test_mutation_family_count,imperative_test_mutation_macro_rejection_rate,imperative_test_mutation_macro_balanced_accuracy,imperative_test_f1_leave_one_family_out_min,imperative_test_f1_leave_one_family_out_max,imperative_test_f1_leave_one_family_out_range,declarative_test_tp,declarative_test_fn,declarative_test_fp,declarative_test_tn,declarative_test_accuracy,declarative_test_precision,declarative_test_recall,declarative_test_f1,declarative_test_false_acceptance_rate,declarative_test_false_rejection_rate,declarative_test_mutation_family_count,declarative_test_mutation_macro_rejection_rate,declarative_test_mutation_macro_balanced_accuracy,declarative_test_f1_leave_one_family_out_min,declarative_test_f1_leave_one_family_out_max,declarative_test_f1_leave_one_family_out_range,declarative_closed_world_test_tp,declarative_closed_world_test_fn,declarative_closed_world_test_fp,declarative_closed_world_test_tn,declarative_closed_world_test_accuracy,declarative_closed_world_test_precision,declarative_closed_world_test_recall,declarative_closed_world_test_f1,declarative_closed_world_test_false_acceptance_rate,declarative_closed_world_test_false_rejection_rate,declarative_closed_world_test_mutation_family_count,declarative_closed_world_test_mutation_macro_rejection_rate,declarative_closed_world_test_mutation_macro_balanced_accuracy,declarative_closed_world_test_f1_leave_one_family_out_min,declarative_closed_world_test_f1_leave_one_family_out_max,declarative_closed_world_test_f1_leave_one_family_out_range,imperative_native_fitness,imperative_native_precision,imperative_native_generalization,imperative_native_simplicity,declarative_full_trace_conformance,declarative_mean_constraint_satisfaction,runtime_seconds
order,0.0,102,120,60,60,0.0,0.05,0.95,6,1,0.008333333333333333,0.0,0.0,6.0,7,6,6,0,12,8,7,6,0,0,0,0,0,0,0.125,2,1.3333333333333333,112,97,37,67,75,7,30,4,6,6,0,0.25170068027210885,5.0,5,5,1.0,1.0,6.166666666666667,18.666666666666668,11.166666666666666,60,0,0,60,1.0,1.0,1.0,1.0,0.0,0.0,9.0,1.0,1.0,1.0,1.0,0.0,60,0,0,60,1.0,1.0,1.0,1.0,0.0,0.0,9.0,1.0,1.0,1.0,1.0,0.0,60,0,0,60,1.0,1.0,1.0,1.0,0.0,0.0,9.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.9087129070824723,1.0,1.0,1.0,0.07476437500008615
order,0.0,103,120,60,60,0.0,0.05,0.95,6,1,0.008333333333333333,0.0,0.0,6.0,7,6,6,0,12,8,7,6,0,0,0,0,0,0,0.125,2,1.3333333333333333,112,97,37,67,75,7,30,4,6,6,0,0.25170068027210885,5.0,5,5,1.0,1.0,6.166666666666667,18.666666666666668,11.166666666666666,60,0,0,60,1.0,1.0,1.0,1.0,0.0,0.0,9.0,1.0,1.0,1.0,1.0,0.0,60,0,0,60,1.0,1.0,1.0,1.0,0.0,0.0,9.0,1.0,1.0,1.0,1.0,0.0,60,0,0,60,1.0,1.0,1.0,1.0,0.0,0.0,9.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.9087129070824723,1.0,1.0,1.0,0.057626167001217254
order,0.2,101,120,60,60,0.0,0.05,0.95,6,2,0.016666666666666666,0.6500224216483541,0.6500224216483541,6.0,8,6,6,0,14,10,10,6,2,0,2,0,1,1,0.1111111111111111,4,1.6666666666666667,109,94,36,65,73,7,29,4,6,6,0,0.24489795918367346,5.0,5,5,1.0,1.0,6.0,18.166666666666668,10.833333333333334,60,0,0,60,1.0,1.0,1.0,1.0,0.0,0.0,9.0,1.0,1.0,1.0,1.0,0.0,60,0,0,60,1.0,1.0,1.0,1.0,0.0,0.0,9.0,1.0,1.0,1.0,1.0,0.0,60,0,0,60,1.0,1.0,1.0,1.0,0.0,0.0,9.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.9087129070824723,1.0,1.0,1.0,0.06298879200039664
order,0.2,102,120,60,60,0.0,0.05,0.95,6,2,0.016666666666666666,0.6098403047164004,0.6098403047164004,6.0,8,6,6,0,14,10,10,6,2,0,2,0,1,1,0.1111111111111111,4,1.6666666666666667,109,94,36,65,73,7,29,4,6,6,0,0.24489795918367346,5.0,5,5,1.0,1.0,6.0,18.166666666666668,10.833333333333334,60,0,0,60,1.0,1.0,1.0,1.0,0.0,0.0,9.0,1.0,1.0,1.0,1.0,0.0,60,0,0,60,1.0,1.0,1.0,1.0,0.0,0.0,9.0,1.0,1.0,1.0,1.0,0.0,60,0,0,60,1.0,1.0,1.0,1.0,0.0,0.0,9.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.9087129070824723,1.0,1.0,1.0,0.05690424999920651
order,0.2,103,120,60,60,0.0,0.05,0.95,6,2,0.016666666666666666,0.588587073932458,0.588587073932458,6.0,8,6,6,0,14,10,10,6,2,0,2,0,1,1,0.1111111111111111,4,1.6666666666666667,109,94,36,65,73,7,29,4,6,6,0,0.24489795918367346,5.0,5,5,1.0,1.0,6.0,18.166666666666668,10.833333333333334,60,0,0,60,1.0,1.0,1.0,1.0,0.0,0.0,9.0,1.0,1.0,1.0,1.0,0.0,60,0,0,60,1.0,1.0,1.0,1.0,0.0,0.0,9.0,1.0,1.0,1.0,1.0,0.0,60,0,0,60,1.0,1.0,1.0,1.0,0.0,0.0,9.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.9087129070824723,1.0,1.0,1.0,0.06369870799971977
order,0.5,101,120,60,60,0.0,0.05,0.95,6,2,0.016666666666666666,0.9927744539878083,0.9927744539878083,6.0,8,6,6,0,14,10,10,6,2,0,2,0,1,1,0.1111111111111111,4,1.6666666666666667,109,94,36,65,73,7,29,4,6,6,0,0.24489795918367346,5.0,5,5,1.0,1.0,6.0,18.166666666666668,10.833333333333334,60,0,0,60,1.0,1.0,1.0,1.0,0.0,0.0,9.0,1.0,1.0,1.0,1.0,0.0,60,0,0,60,1.0,1.0,1.0,1.0,0.0,0.0,9.0,1.0,1.0,1.0,1.0,0.0,60,0,0,60,1.0,1.0,1.0,1.0,0.0,0.0,9.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.9087129070824723,1.0,1.0,1.0,0.08136933300011151
order,0.5,102,120,60,60,0.0,0.05,0.95,6,2,0.016666666666666666,0.999799616411146,0.999799616411146,6.0,8,6,6,0,14,10,10,6,2,0,2,0,1,1,0.1111111111111111,4,1.6666666666666667,109,94,36,65,73,7,29,4,6,6,0,0.24489795918367346,5.0,5,5,1.0,1.0,6.0,18.166666666666668,10.833333333333334,60,0,0,60,1.0,1.0,1.0,1.0,0.0,0.0,9.0,1.0,1.0,1.0,1.0,0.0,60,0,0,60,1.0,1.0,1.0,1.0,0.0,0.0,9.0,1.0,1.0,1.0,1.0,0.0,60,0,0,60,1.0,1.0,1.0,1.0,0.0,0.0,9.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.9087129070824723,1.0,1.0,1.0,0.073017875000005
order,0.5,103,120,60,60,0.0,0.05,0.95,6,2,0.016666666666666666,0.9991983542636398,0.9991983542636398,6.0,8,6,6,0,14,10,10,6,2,0,2,0,1,1,0.1111111111111111,4,1.6666666666666667,109,94,36,65,73,7,29,4,6,6,0,0.24489795918367346,5.0,5,5,1.0,1.0,6.0,18.166666666666668,10.833333333333334,60,0,0,60,1.0,1.0,1.0,1.0,0.0,0.0,9.0,1.0,1.0,1.0,1.0,0.0,60,0,0,60,1.0,1.0,1.0,1.0,0.0,0.0,9.0,1.0,1.0,1.0,1.0,0.0,60,0,0,60,1.0,1.0,1.0,1.0,0.0,0.0,9.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.9087129070824723,1.0,1.0,1.0,0.0697803750008461
rework,0.0,101,120,60,60,0.0,0.05,0.95,6,1,0.008333333333333333,0.0,0.0,6.0,7,6,6,0,12,8,7,6,0,0,0,0,0,0,0.125,2,1.3333333333333333,112,97,37,67,75,7,30,4,6,6,0,0.25170068027210885,5.0,5,5,1.0,1.0,6.166666666666667,18.666666666666668,11.166666666666666,60,0,0,60,1.0,1.0,1.0,1.0,0.0,0.0,10.0,1.0,1.0,1.0,1.0,0.0,60,0,12,48,0.9,0.8333333333333334,1.0,0.9090909090909091,0.2,0.0,10.0,0.8,0.9,0.9090909090909091,0.9523809523809523,0.04329004329004327,60,0,0,60,1.0,1.0,1.0,1.0,0.0,0.0,10.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.9087129070824723,1.0,1.0,1.0,0.06529200000113633
rework,0.0,102,120,60,60,0.0,0.05,0.95,6,1,0.008333333333333333,0.0,0.0,6.0,7,6,6,0,12,8,7,6,0,0,0,0,0,0,0.125,2,1.3333333333333333,112,97,37,67,75,7,30,4,6,6,0,0.25170068027210885,5.0,5,5,1.0,1.0,6.166666666666667,18.666666666666668,11.166666666666666,60,0,0,60,1.0,1.0,1.0,1.0,0.0,0.0,10.0,1.0,1.0,1.0,1.0,0.0,60,0,12,48,0.9,0.8333333333333334,1.0,0.9090909090909091,0.2,0.0,10.0,0.8,0.9,0.9090909090909091,0.9523809523809523,0.04329004329004327,60,0,0,60,1.0,1.0,1.0,1.0,0.0,0.0,10.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.9087129070824723,1.0,1.0,1.0,0.06710091599961743
rework,0.0,103,120,60,60,0.0,0.05,0.95,6,1,0.008333333333333333,0.0,0.0,6.0,7,6,6,0,12,8,7,6,0,0,0,0,0,0,0.125,2,1.3333333333333333,112,97,37,67,75,7,30,4,6,6,0,0.25170068027210885,5.0,5,5,1.0,1.0,6.166666666666667,18.666666666666668,11.166666666666666,60,0,0,60,1.0,1.0,1.0,1.0,0.0,0.0,10.0,1.0,1.0,1.0,1.0,0.0,60,0,12,48,0.9,0.8333333333333334,1.0,0.9090909090909091,0.2,0.0,10.0,0.8,0.9,0.9090909090909091,0.9523809523809523,0.04329004329004327,60,0,0,60,1.0,1.0,1.0,1.0,0.0,0.0,10.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.9087129070824723,1.0,1.0,1.0,0.06736320799973328
rework,0.2,101,120,60,60,0.0,0.05,0.95,8,2,0.016666666666666666,0.7978009196353439,0.7978009196353439,6.725,8,8,8,0,16,12,12,8,2,2,0,0,1,2,0.09090909090909091,4,1.5,144,128,64,96,80,6,58,7,8,8,0,0.23880597014925373,7.0,7,14,0.6682291666666667,1.0,8.0,18.0,12.0,60,0,0,60,1.0,1.0,1.0,1.0,0.0,0.0,10.0,1.0,1.0,1.0,1.0,0.0,60,0,0,60,1.0,1.0,1.0,1.0,0.0,0.0,10.0,1.0,1.0,1.0,1.0,0.0,60,0,0,60,1.0,1.0,1.0,1.0,0.0,0.0,10.0,1.0,1.0,1.0,1.0,0.0,1.0,0.9696652719665272,0.8862813333757942,1.0,1.0,1.0,0.08871550000003481
rework,0.2,102,120,60,60,0.0,0.05,0.95,8,2,0.016666666666666666,0.588587073932458,0.588587073932458,6.425,8,8,8,0,16,12,12,8,2,2,0,0,1,2,0.09090909090909091,4,1.5,144,128,64,96,80,6,58,7,8,8,0,0.23880597014925373,7.0,7,14,0.6244791666666667,1.0,8.0,18.0,12.0,60,0,0,60,1.0,1.0,1.0,1.0,0.0,0.0,10.0,1.0,1.0,1.0,1.0,0.0,60,0,0,60,1.0,1.0,1.0,1.0,0.0,0.0,10.0,1.0,1.0,1.0,1.0,0.0,60,0,0,60,1.0,1.0,1.0,1.0,0.0,0.0,10.0,1.0,1.0,1.0,1.0,0.0,1.0,0.9812775330396476,0.8716321899460024,1.0,1.0,1.0,0.09160766700006207
rework,0.2,103,120,60,60,0.0,0.05,0.95,8,2,0.016666666666666666,0.6303074079971902,0.6303074079971902,6.475,8,8,8,0,16,12,12,8,2,2,0,0,1,2,0.09090909090909091,4,1.5,144,128,64,96,80,6,58,7,8,8,0,0.23880597014925373,7.0,7,14,0.6317708333333333,1.0,8.0,18.0,12.0,60,0,0,60,1.0,1.0,1.0,1.0,0.0,0.0,10.0,1.0,1.0,1.0,1.0,0.0,60,0,0,60,1.0,1.0,1.0,1.0,0.0,0.0,10.0,1.0,1.0,1.0,1.0,0.0,60,0,0,60,1.0,1.0,1.0,1.0,0.0,0.0,10.0,1.0,1.0,1.0,1.0,0.0,1.0,0.9792576419213974,0.8749892718379051,1.0,1.0,1.0,0.10337325000000419
rework,0.5,101,120,60,60,0.0,0.05,0.95,8,2,0.016666666666666666,0.9949848281859701,0.9949848281859701,7.375,8,8,8,0,16,12,12,8,2,2,0,0,1,2,0.09090909090909091,4,1.5,144,128,64,96,80,6,58,7,8,8,0,0.23880597014925373,7.0,7,14,0.7630208333333334,1.0,8.0,18.0,12.0,60,0,0,60,1.0,1.0,1.0,1.0,0.0,0.0,10.0,1.0,1.0,1.0,1.0,0.0,60,0,0,60,1.0,1.0,1.0,1.0,0.0,0.0,10.0,1.0,1.0,1.0,1.0,0.0,60,0,0,60,1.0,1.0,1.0,1.0,0.0,0.0,10.0,1.0,1.0,1.0,1.0,0.0,1.0,0.9481132075471698,0.8997864619781524,1.0,1.0,1.0,0.09902854099891556
rework,0.5,102,120,60,60,0.0,0.05,0.95,8,2,0.016666666666666666,0.9991983542636398,0.9991983542636398,7.45,8,8,8,0,16,12,12,8,2,2,0,0,1,2,0.09090909090909091,4,1.5,144,128,64,96,80,6,58,7,8,8,0,0.23880597014925373,7.0,7,14,0.7739583333333333,1.0,8.0,18.0,12.0,60,0,0,60,1.0,1.0,1.0,1.0,0.0,0.0,10.0,1.0,1.0,1.0,1.0,0.0,60,0,0,60,1.0,1.0,1.0,1.0,0.0,0.0,10.0,1.0,1.0,1.0,1.0,0.0,60,0,0,60,1.0,1.0,1.0,1.0,0.0,0.0,10.0,1.0,1.0,1.0,1.0,0.0,1.0,0.9458955223880597,0.9007498125991663,1.0,1.0,1.0,0.08910008299972105
rework,0.5,103,120,60,60,0.0,0.05,0.95,8,2,0.016666666666666666,1.0,1.0,7.5,8,8,8,0,16,12,12,8,2,2,0,0,1,2,0.09090909090909091,4,1.5,144,128,64,96,80,6,58,7,8,8,0,0.23880597014925373,7.0,7,14,0.78125,1.0,8.0,18.0,12.0,60,0,0,60,1.0,1.0,1.0,1.0,0.0,0.0,10.0,1.0,1.0,1.0,1.0,0.0,60,0,0,60,1.0,1.0,1.0,1.0,0.0,0.0,10.0,1.0,1.0,1.0,1.0,0.0,60,0,0,60,1.0,1.0,1.0,1.0,0.0,0.0,10.0,1.0,1.0,1.0,1.0,0.0,1.0,0.9444444444444444,0.9013537558019009,1.0,1.0,1.0,0.0903615829993214
