scenario,variability,inductive_noise_threshold,declare_min_support_ratio,declare_min_confidence_ratio,metric,n_seeds,median,mean,std,min,max,median_ci_low,median_ci_high
optional,0.5,0.0,0.05,0.95,imperative_native_precision,3,1.0,1.0,0.0,1.0,1.0,1.0,1.0
optional,0.5,0.0,0.05,0.95,declarative_full_trace_conformance,3,1.0,1.0,0.0,1.0,1.0,1.0,1.0
order,0.0,0.0,0.05,0.95,train_variant_entropy_normalized,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
order,0.0,0.0,0.05,0.95,imperative_bpmn_nodes,3,8.0,8.0,0.0,8.0,8.0,8.0,8.0
order,0.0,0.0,0.05,0.95,imperative_bpmn_structural_overhead,3,2.0,2.0,0.0,2.0,2.0,2.0,2.0
order,0.0,0.0,0.05,0.95,imperative_control_flow_complexity,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
order,0.0,0.0,0.05,0.95,declarative_declare_constraints,3,37.0,37.0,0.0,37.0,37.0,37.0,37.0
order,0.0,0.0,0.05,0.95,declarative_declare_constraints_primitive_preferred,3,67.0,67.0,0.0,67.0,67.0,67.0,67.0
order,0.0,0.0,0.05,0.95,declarative_declare_relation_records_raw,3,112.0,112.0,0.0,112.0,112.0,112.0,112.0
order,0.0,0.0,0.05,0.95,declarative_declare_constraints_per_observed_activity,3,6.166666666666667,6.166666666666667,0.0,6.166666666666667,6.166666666666667,6.166666666666667,6.166666666666667
order,0.0,0.0,0.05,0.95,imperative_test_f1,3,1.0,1.0,0.0,1.0,1.0,1.0,1.0
order,0.0,0.0,0.05,0.95,declarative_test_f1,3,1.0,1.0,0.0,1.0,1.0,1.0,1.0
order,0.0,0.0,0.05,0.95,declarative_test_f1_leave_one_family_out_range,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
order,0.0,0.0,0.05,0.95,declarative_closed_world_test_f1,3,1.0,1.0,0.0,1.0,1.0,1.0,1.0
order,0.0,0.0,0.05,0.95,imperative_native_precision,3,1.0,1.0,0.0,1.0,1.0,1.0,1.0
order,0.0,0.0,0.05,0.95,declarative_full_trace_conformance,3,1.0,1.0,0.0,1.0,1.0,1.0,1.0
order,0.2,0.0,0.05,0.95,train_variant_entropy_normalized,3,0.6098403047164004,0.6161499334324042,0.03119990461754057,0.588587073932458,0.6500224216483541,0.588587073932458,0.6500224216483541
order,0.2,0.0,0.05,0.95,imperative_bpmn_nodes,3,10.0,10.0,0.0,10.0,10.0,10.0,10.0
order,0.2,0.0,0.05,0.95,imperative_bpmn_structural_overhead,3,4.0,4.0,0.0,4.0,4.0,4.0,4.0
order,0.2,0.0,0.05,0.95,imperative_control_flow_complexity,3,1.0,1.0,0.0,1.0,1.0,1.0,1.0
order,0.2,0.0,0.05,0.95,declarative_declare_constraints,3,36.0,36.0,0.0,36.0,36.0,36.0,36.0
order,0.2,0.0,0.05,0.95,declarative_declare_constraints_primitive_preferred,3,65.0,65.0,0.0,65.0,65.0,65.0,65.0
order,0.2,0.0,0.05,0.95,declarative_declare_relation_records_raw,3,109.0,109.0,0.0,109.0,109.0,109.0,109.0
order,0.2,0.0,0.05,0.95,declarative_declare_constraints_per_observed_activity,3,6.0,6.0,0.0,6.0,6.0,6.0,6.0
order,0.2,0.0,0.05,0.95,imperative_test_f1,3,1.0,1.0,0.0,1.0,1.0,1.0,1.0
order,0.2,0.0,0.05,0.95,declarative_test_f1,3,1.0,1.0,0.0,1.0,1.0,1.0,1.0
order,0.2,0.0,0.05,0.95,declarative_test_f1_leave_one_family_out_range,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
order,0.2,0.0,0.05,0.95,declarative_closed_world_test_f1,3,1.0,1.0,0.0,1.0,1.0,1.0,1.0
order,0.2,0.0,0.05,0.95,imperative_native_precision,3,1.0,1.0,0.0,1.0,1.0,1.0,1.0
order,0.2,0.0,0.05,0.95,declarative_full_trace_conformance,3,1.0,1.0,0.0,1.0,1.0,1.0,1.0
order,0.5,0.0,0.05,0.95,train_variant_entropy_normalized,3,0.9991983542636398,0.9972574748875314,0.003894032143295801,0.9927744539878084,0.999799616411146,0.9927744539878084,0.999799616411146
